,Word,Count,Include
222,deliver,56,0
223,click,55,0
224,join,55,0
225,disappear,55,0
226,getting,55,0
227,expect,53,0
228,fasten,53,0
229,shoot,52,0
230,decide,52,0
231,lock,52,0
232,smile,51,0
233,notice,50,0
234,crawl,50,0
235,point,49,0
236,shake,48,0
237,spin,48,0
238,row,48,0
239,snap,48,0
240,spoil,47,0
241,sell,47,0
242,end,47,0
243,fight,47,0
244,borrow,46,0
245,taste,46,0
246,steal,46,0
247,thread,46,0
248,smash,45,0
249,may,45,0
250,rid,45,0
251,reckon,44,0
252,rock,44,0
253,spend,44,0
254,balance,43,0
255,collect,42,0
256,match,42,0
257,poke,42,0
258,squeak,41,0
259,pack,41,0
260,lean,40,0
261,dig,40,0
262,forgot,40,0
263,switch,40,0
264,stroke,40,0
265,follow,40,0
266,comb,39,0
267,cost,39,0
268,tow,38,0
269,slip,38,0
270,suck,38,0
271,teach,38,0
272,burn,37,0
273,prod,37,0
274,repair,36,0
275,believe,35,0
276,splash,35,0
277,guess,35,0
278,frighten,35,0
279,phone,35,0
280,wish,34,0
281,escape,33,0
282,fancy,33,0
283,measure,33,0
284,gotta,33,0
285,realize,33,0
286,answer,33,0
287,hook,32,0
288,wobble,32,0
289,mess,32,0
290,clear,32,0
291,destroy,32,0
292,spot,31,0
293,bear,31,0
294,sneeze,31,0
295,shine,31,0
296,bark,31,0
297,stir,31,0
298,sweep,30,0
299,collapse,30,0
300,boil,30,0
301,begin,30,0
302,tear,30,0
303,visit,29,0
304,muddle,29,0
305,race,28,0
306,weigh,28,0
307,offer,28,0
308,prefer,28,0
309,wreck,28,0
310,hop,27,0
311,cool,27,0
312,arrive,26,0
313,cough,26,0
314,die,26,0
315,line,26,0
316,cross,26,0
317,burst,26,0
318,chop,25,0
319,recognize,25,0
320,trip,25,0
321,twist,25,0
322,hurry,25,0
323,',25,0
324,become,25,0
325,de,25,0
326,cheat,24,0
327,pardon,24,0
328,fold,24,0
329,scream,24,0
330,gone,24,0
331,whisper,24,0
332,attack,24,0
333,settle,24,0
334,peck,23,0
335,spread,23,0
336,chuck,23,0
337,squeal,23,0
338,argue,22,0
339,slow,22,0
340,last,21,0
341,melt,21,0
342,drip,21,0
343,dream,21,0
344,water,21,0
345,nibble,21,0
346,sail,21,0
347,flatten,21,0
348,scoop,21,0
349,dare,20,0
350,promise,20,0
351,pat,20,0
352,'s,20,0
353,warm,20,0
354,snuggle,20,0
355,unload,20,0
356,upset,20,0
357,care,20,0
358,complain,20,0
359,dip,20,0
360,load,20,0
361,trap,19,0
362,beat,19,0
363,wiggle,19,0
364,iron,19,0
365,cause,19,0
366,clap,19,0
367,swallow,19,0
368,suit,19,0
369,attach,19,0
370,flash,19,0
371,breathe,19,0
372,design,19,0
373,fish,18,0
374,shape,18,0
375,swing,18,0
376,round,18,0
377,fry,18,0
378,mash,18,0
379,explain,18,0
380,drill,18,0
381,reverse,18,0
382,drown,18,0
383,else're,17,0
384,tape,17,0
385,spit,17,0
386,stamp,17,0
387,bury,17,0
388,stack,17,0
389,kneel,17,0
390,straighten,17,0
391,wet,17,0
392,step,17,0
393,derail,17,0
394,crunch,17,0
395,grab,16,0
396,squirt,16,0
397,flop,16,0
398,stretch,16,0
399,sink,16,0
400,face,16,0
401,seek,16,0
402,sulk,16,0
403,imagine,16,0
404,hoover,16,0
405,interfere,16,0
406,nurse,16,0
407,tease,15,0
408,scare,15,0
409,remind,15,0
410,rush,15,0
411,undress,15,0
412,wriggle,15,0
413,deserve,15,0
414,swap,15,0
415,dive,15,0
416,record,15,0
417,shove,15,0
418,creep,15,0
419,marry,15,0
420,snow,15,0
421,dunk,15,0
422,dear,14,0
423,dribble,14,0
424,beep,14,0
425,hammer,14,0
426,warn,14,0
427,damage,14,0
428,joke,14,0
429,hatch,14,0
430,itch,14,0
431,travel,14,0
432,add,13,0
433,rest,13,0
434,freeze,13,0
435,ignore,13,0
436,insist,13,0
437,paddle,13,0
438,confuse,13,0
439,name,13,0
440,ate,13,0
441,se,13,0
442,screw,13,0
443,dump,13,0
444,plant,13,0
445,chat,13,0
446,gallop,12,0
447,flip,12,0
448,copy,12,0
449,flush,12,0
450,test,12,0
451,knit,12,0
452,juggle,12,0
453,dangle,12,0
454,rinse,12,0
455,whiz,12,0
456,serve,12,0
457,suggest,12,0
458,nick,12,0
459,scribble,12,0
460,depend,12,0
461,force,12,0
462,trust,12,0
463,swinge,12,0
464,deal,12,0
465,mention,11,0
466,nip,11,0
467,hug,11,0
468,scramble,11,0
469,sign,11,0
470,flap,11,0
471,ruin,11,0
472,wedge,11,0
473,beg,11,0
474,invite,11,0
475,pile,11,0
476,choke,11,0
477,drag,11,0
478,slap,11,0
479,pet,11,0
480,tighten,11,0
481,spray,11,0
482,wag,11,0
483,dash,10,0
484,score,10,0
485,clip,10,0
486,glue,10,0
487,purr,10,0
488,moan,10,0
489,kill,10,0
490,train,10,0
491,arrange,10,0
492,tend,10,0
493,protect,10,0
494,struggle,10,0
495,leak,9,0
496,mow,9,0
497,stab,9,0
498,trick,9,0
499,treat,9,0
500,waste,9,0
501,puff,9,0
502,crack,9,0
503,snatch,9,0
504,strangle,9,0
505,panic,9,0
506,crush,9,0
507,pname,9,0
508,concentrate,9,0
509,rebuild,9,0
510,thank,9,0
511,pump,9,0
512,unlock,9,0
513,couple,9,0
514,burp,8,0
515,blame,8,0
516,re,8,0
517,curl,8,0
518,peek,8,0
519,float,8,0
520,yawn,8,0
521,decorate,8,0
522,tangle,8,0
523,hand,8,0
524,head,8,0
525,one're,8,0
526,dismantle,8,0
527,fool,8,0
528,roar,8,0
529,crayon,8,0
530,rumble,8,0
531,to,8,0
532,operate,8,0
533,march,8,0
534,gather,8,0
535,skate,8,0
536,sharpen,8,0
537,sew,7,0
538,whack,7,0
539,splodge,7,0
540,else've,7,0
541,rattle,7,0
542,skip,7,0
543,sunbathe,7,0
544,mop,7,0
545,sniff,7,0
546,snore,7,0
547,charge,7,0
548,whip,7,0
549,hate,7,0
550,punch,7,0
551,prove,7,0
552,cope,7,0
553,repeat,7,0
554,disturb,7,0
555,toss,7,0
556,queue,7,0
557,zoom,7,0
558,fiddle,7,0
559,spank,7,0
560,telephone,7,0
561,unthread,7,0
562,vacuum,7,0
563,obsess,6,0
564,encourage,6,0
565,strike,6,0
566,fast,6,0
567,topple,6,0
568,bit,6,0
569,book,6,0
570,appear,6,0
571,capsize,6,0
572,steer,6,0
573,scatter,6,0
574,poo,6,0
575,interrupt,6,0
576,wander,6,0
577,bind,6,0
578,shuffle,6,0
579,pooe,6,0
580,light,6,0
581,shiver,6,0
582,snort,6,0
583,overtake,6,0
584,introduce,6,0
585,waddle,6,0
586,trample,6,0
587,lend,6,0
588,extend,6,0
589,scrape,5,0
590,having,5,0
591,raise,5,0
592,order,5,0
593,swish,5,0
594,sting,5,0
595,spilt,5,0
596,pedal,5,0
597,squish,5,0
598,smoke,5,0
599,video,5,0
600,fail,5,0
601,broke,5,0
602,persuade,5,0
603,grind,5,0
604,soak,5,0
605,bleed,5,0
606,nod,5,0
607,ski,5,0
608,muck,5,0
609,stuck,5,0
610,polish,5,0
611,snip,5,0
612,surprise,5,0
613,saw,5,0
614,connect,5,0
615,whistle,5,0
616,threaten,5,0
617,scrub,5,0
618,train+set,5,0
619,replace,5,0
620,mince,5,0
621,twinkle,5,0
622,bath,5,0
623,tap,5,0
624,injure,5,0
625,intend,5,0
626,spring,5,0
627,heat,5,0
628,earn,5,0
629,stitch,5,0
630,buzz,5,0
631,boinge,5,0
632,loop,5,0
633,ram,5,0
634,starve,5,0
635,color're,5,0
636,flick,5,0
637,chatter,5,0
638,prick,5,0
639,prepare,5,0
640,pounce,5,0
641,shear,5,0
642,bathe,5,0
643,unscrew,5,0
644,milk,5,0
645,lead,5,0
646,examine,5,0
647,sneak,5,0
648,bam,5,0
649,rotter,4,0
650,bop,4,0
651,swipe,4,0
652,weed,4,0
653,will've,4,0
654,tumble,4,0
655,leap,4,0
656,please,4,0
657,cheer,4,0
658,hitch,4,0
659,though,4,0
660,pickle,4,0
661,dolly,4,0
662,jab,4,0
663,chomp,4,0
664,relax,4,0
665,recover,4,0
666,smudge,4,0
667,what'm,4,0
668,us,4,0
669,unravel,4,0
670,remove,4,0
671,temper,4,0
672,accord,4,0
673,doubt,4,0
674,act,4,0
675,slobber,4,0
676,growl,4,0
677,s,4,0
678,bruise,4,0
679,solve,4,0
680,comfort,4,0
681,maul,4,0
682,wallow,4,0
683,agree,4,0
684,perform,4,0
685,slam,4,0
686,shush,4,0
687,whine,4,0
688,kid,4,0
689,spell,4,0
690,tweet,4,0
691,duck,4,0
692,bug,4,0
693,indicate,4,0
694,way're,4,0
695,ache,4,0
696,sizzle,4,0
697,spy,4,0
698,rearrange,4,0
699,refuse,4,0
700,meow,4,0
701,screech,4,0
702,salt,4,0
703,annoy,4,0
704,presume,4,0
705,apologize,4,0
706,separate,4,0
707,transport,4,0
708,receive,4,0
709,lower,4,0
710,continue,4,0
711,produce,4,0
712,practice,4,0
713,misbehave,4,0
714,organize,4,0
715,dust,4,0
716,bulldoze,4,0
717,tick,4,0
718,unplug,4,0
719,twiddle,4,0
720,reheat,4,0
721,slot,4,0
722,slosh,4,0
723,shovel,3,0
724,alter,3,0
725,improvise,3,0
726,whinge,3,0
727,explode,3,0
728,untie,3,0
729,pause,3,0
730,hunt,3,0
731,oil,3,0
732,hoot,3,0
733,include,3,0
734,ping,3,0
735,support,3,0
736,honk,3,0
737,abandon,3,0
738,play+group,3,0
739,trot,3,0
740,trash,3,0
741,unstick,3,0
742,twizzle,3,0
743,explore,3,0
744,bully,3,0
745,susse,3,0
746,disappoint,3,0
747,compare,3,0
748,shift,3,0
749,ice,3,0
750,overact,3,0
751,admit,3,0
752,cancel,3,0
753,practise,3,0
754,provide,3,0
755,assume,3,0
756,reeducate,3,0
757,torment,3,0
758,trade,3,0
759,figure,3,0
760,store,3,0
761,pronounce,3,0
762,bridge,3,0
763,handle,3,0
764,avoid,3,0
765,dread,3,0
766,bib,3,0
767,quack,3,0
768,convince,3,0
769,reply,3,0
770,spoon,3,0
771,split,3,0
772,strap,3,0
773,place,3,0
774,scrunch,3,0
775,owe,3,0
776,box,3,0
777,demolish,3,0
778,accept,3,0
779,irritate,3,0
780,chill,3,0
781,fibber,3,0
782,rummage,3,0
783,forgive,3,0
784,celebrate,3,0
785,chip,3,0
786,munch,3,0
787,dunno,3,0
788,cycle,3,0
789,tin,3,0
790,cast,3,0
791,heave,3,0
792,shelter,3,0
793,suspect,3,0
794,deposit,3,0
795,require,3,0
796,guard,3,0
797,faint,3,0
798,involve,3,0
799,fizz,3,0
800,recommend,3,0
801,chug,3,0
802,graze,3,0
803,jam,3,0
804,mould,3,0
805,top,3,0
806,scan,3,0
807,that're,2,0
808,adjust,2,0
809,creak,2,0
810,discover,2,0
811,giggle,2,0
812,blob,2,0
813,bulge,2,0
814,gurgle,2,0
815,poison,2,0
816,trump,2,0
817,videoe,2,0
818,bowl,2,0
819,go+carte,2,0
820,unwind,2,0
821,shoo,2,0
822,accuse,2,0
823,stuff,2,0
824,hiss,2,0
825,whoosh,2,0
826,drift,2,0
827,wheeze,2,0
828,heal,2,0
829,croak,2,0
830,whisk,2,0
831,children've,2,0
832,harm,2,0
833,hat,2,0
834,wheel,2,0
835,chuntere,2,0
836,guzzle,2,0
837,fob,2,0
838,strain,2,0
839,vanish,2,0
840,train're,2,0
841,note,2,0
842,dingale,2,0
843,cram,2,0
844,respond,2,0
845,confiscate,2,0
846,exercise,2,0
847,batter,2,0
848,concern,2,0
849,ought,2,0
850,hattie,2,0
851,cellotape,2,0
852,tilt,2,0
853,snake,2,0
854,squashede,2,0
855,grasp,2,0
856,frustrate,2,0
857,thing,2,0
858,strip,2,0
859,not,2,0
860,plane,2,0
861,block,2,0
862,instruct,2,0
863,pin,2,0
864,seesaw,2,0
865,coordinate,2,0
866,gobble,2,0
867,rivet,2,0
868,blup,2,0
869,strand,2,0
870,contain,2,0
871,disagree,2,0
872,describe,2,0
873,zip,2,0
874,sue,2,0
875,drench,2,0
876,crikey,2,0
877,gentle,2,0
878,release,2,0
879,relegate,2,0
880,translate,2,0
881,raid,2,0
882,massage,2,0
883,afford,2,0
884,clothe,2,0
885,mush,2,0
886,frolic,2,0
887,whatte,2,0
888,your,2,0
889,molt,2,0
890,blow+dry,2,0
891,trodden,2,0
892,toe,2,0
893,shatter,2,0
894,-,2,0
895,goale,2,0
896,deafen,2,0
897,interest,2,0
898,tire,2,0
899,aim,2,0
900,back,2,0
901,roast,2,0
902,grunt,2,0
903,picnic,2,0
904,teethe,2,0
905,bed,2,0
906,daddy'd,2,0
907,drum,2,0
908,camp,2,0
909,surround,2,0
910,toast,2,0
911,trampoline,2,0
912,baby,2,0
913,fire,2,0
914,sunshine,2,0
915,awake,2,0
916,near,2,0
917,fence,2,0
918,it,2,0
919,part,2,0
920,swivel,2,0
921,lurch,2,0
922,establish,2,0
923,forbid,2,0
924,reseed,2,0
925,consider,2,0
926,divide,2,0
927,reappear,2,0
928,retreat,2,0
929,unpack,2,0
930,survive,2,0
931,suspend,2,0
932,handcuff,2,0
933,recycle,2,0
934,waft,2,0
935,steam,2,0
936,mistreat,2,0
937,nail,2,0
938,enter,2,0
939,remain,2,0
940,caterwaul,2,0
941,splishe,2,0
942,rustle,2,0
943,sniffle,2,0
944,mark,2,0
945,shave,2,0
946,chose,2,0
947,butter,2,0
948,latch,2,0
949,rewind,2,0
950,moo,2,0
951,strengthen,2,0
952,prop,2,0
953,trim,2,0
954,defluffe,2,0
955,doze,2,0
956,speed,2,0
957,toddle,2,0
958,nestle,2,0
959,huddle,2,0
960,kink,2,0
961,withstand,2,0
962,reduce,2,0
963,boot,2,0
964,shorten,2,0
965,discard,2,0
966,malta,2,0
967,decapitate,2,0
968,seize,2,0
969,star,2,0
970,keen,1,0
971,address,1,0
972,head+butte,1,0
973,whate,1,0
974,mat,1,0
975,stink,1,0
976,flood,1,0
977,sleeve,1,0
978,quote,1,0
979,scuff,1,0
980,stucke,1,0
981,wrinkle,1,0
982,frown,1,0
983,babysat,1,0
984,andy'd,1,0
985,arrest,1,0
986,zonke,1,0
987,weld,1,0
988,nought,1,0
989,correct,1,0
990,exhaust,1,0
991,sunburnt,1,0
992,doom,1,0
993,sand,1,0
994,prance,1,0
995,gig,1,0
996,magic,1,0
997,plug,1,0
998,parachute,1,0
999,peer,1,0
1000,spilled,1,0
1001,age,1,0
1002,pig,1,0
1003,spare,1,0
1004,brokene,1,0
1005,about,1,0
1006,breed,1,0
1007,head+stande,1,0
1008,picture've,1,0
1009,pe,1,0
1010,brick,1,0
1011,bail,1,0
1012,self+addresse,1,0
1013,web,1,0
1014,etchasketch,1,0
1015,poach,1,0
1016,mangle,1,0
1017,snooze,1,0
1018,sling,1,0
1019,study,1,0
1020,splosh,1,0
1021,on,1,0
1022,crouch,1,0
1023,keel,1,0
1024,rob,1,0
1025,cat,1,0
1026,tempt,1,0
1027,resolve,1,0
1028,digger,1,0
1029,mug,1,0
1030,cat+food,1,0
1031,mummie,1,0
1032,reuse,1,0
1033,throttle,1,0
1034,else'm,1,0
1035,spoilt,1,0
1036,occur,1,0
1037,compromise,1,0
1038,jinx,1,0
1039,where'm,1,0
1040,are,1,0
1041,waltz,1,0
1042,animal're,1,0
1043,ease,1,0
1044,cart,1,0
1045,criticize,1,0
1046,clout,1,0
1047,who'm,1,0
1048,reject,1,0
1049,letter're,1,0
1050,force+fe,1,0
1051,wang,1,0
1052,wange,1,0
1053,rabbit,1,0
1054,you'regonna,1,0
1055,hinder,1,0
1056,noise,1,0
1057,ice+cream,1,0
1058,prize,1,0
1059,totter,1,0
1060,untangle,1,0
1061,budge,1,0
1062,says,1,0
1063,educate,1,0
1064,goodness,1,0
1065,page,1,0
1066,affect,1,0
1067,gallivant,1,0
1068,convert,1,0
1069,disobey,1,0
1070,hound,1,0
1071,cure,1,0
1072,fade,1,0
1073,associate,1,0
1074,banish,1,0
1075,castrate,1,0
1076,overspill,1,0
1077,whale,1,0
1078,neigh,1,0
1079,fib,1,0
1080,monkey,1,0
1081,pingu,1,0
1082,overdose,1,0
1083,unfasten,1,0
1084,been,1,0
1085,silly,1,0
1086,fallen,1,0
1087,chew^chew,1,0
1088,pester,1,0
1089,mutter,1,0
1090,mumble,1,0
1091,clever,1,0
1092,persist,1,0
1093,likes,1,0
1094,here're,1,0
1095,frisk,1,0
1096,kettle,1,0
1097,root,1,0
1098,ke,1,0
1099,biscuit,1,0
1100,choo,1,0
1101,twitch,1,0
1102,chicken,1,0
1103,catapult,1,0
1104,whir,1,0
1105,crumple,1,0
1106,bask,1,0
1107,cold,1,0
1108,squonke,1,0
1109,glass,1,0
1110,fling,1,0
1111,brew,1,0
1112,pierce,1,0
1113,swear,1,0
1114,hup,1,0
1115,glow,1,0
1116,mint,1,0
1117,cheep,1,0
1118,driver,1,0
1119,ad,1,0
1120,eaten,1,0
1121,menace,1,0
1122,boast,1,0
1123,shampoo,1,0
1124,toot,1,0
1125,down,1,0
1126,jiggle,1,0
1127,hijack,1,0
1128,defeat,1,0
1129,disgust,1,0
1130,smooch,1,0
1131,blingie^bling^ble,1,0
1132,piggy,1,0
1133,mmhmme,1,0
1134,jut,1,0
1135,song,1,0
1136,pen,1,0
1137,control,1,0
1138,whee,1,0
1139,gush,1,0
1140,stub,1,0
1141,jog,1,0
1142,dumple,1,0
1143,print,1,0
1144,babys,1,0
1145,exist,1,0
1146,te,1,0
1147,prowl,1,0
1148,wallace,1,0
1149,rant,1,0
1150,pap,1,0
1151,gum,1,0
1152,redirect,1,0
1153,thump,1,0
1154,whimper,1,0
1155,reminisce,1,0
1156,tune,1,0
1157,ramble,1,0
1158,brag,1,0
1159,mother,1,0
1160,trod,1,0
1161,tiger're,1,0
1162,bore,1,0
1163,sweat,1,0
1164,chuff,1,0
1165,decipher,1,0
1166,scrabble,1,0
1167,splatter,1,0
1168,shop're,1,0
1169,road+rage,1,0
1170,chalk,1,0
1171,ditch,1,0
1172,exit,1,0
1173,vibrate,1,0
1174,shunt,1,0
1175,mildre,1,0
1176,gape,1,0
1177,tower,1,0
1178,deflate,1,0
1179,honour,1,0
1180,rolly,1,0
1181,polly,1,0
1182,surf,1,0
1183,doing,1,0
1184,beach,1,0
1185,pepper,1,0
1186,said,1,0
1187,sum,1,0
1188,that've,1,0
1189,blew,1,0
1190,enroll,1,0
1191,blow+drie,1,0
1192,dye,1,0
1193,blow+drye,1,0
1194,style,1,0
1195,nobody'd,1,0
1196,flirt,1,0
1197,babble,1,0
1198,rethingie,1,0
1199,returfe,1,0
1200,throb,1,0
1201,brown,1,0
1202,develop,1,0
1203,sledge,1,0
1204,shoe,1,0
1205,overdo,1,0
1206,corn,1,0
1207,magice,1,0
1208,eaves+droppe,1,0
1209,slither,1,0
1210,ouche,1,0
1211,you,1,0
1212,discuss,1,0
1213,knee,1,0
1214,play+school,1,0
1215,engross,1,0
1216,rather,1,0
1217,sabotage,1,0
1218,contribute,1,0
1219,grumble,1,0
1220,of,1,0
1221,pray,1,0
1222,ear+re,1,0
1223,suffocate,1,0
1224,anna'd,1,0
1225,sigh,1,0
1226,needs,1,0
1227,scold,1,0
1228,juice,1,0
1229,secure,1,0
1230,negotiate,1,0
1231,bow,1,0
1232,deny,1,0
1233,sheep'd,1,0
1234,honey,1,0
1235,belly+button,1,0
1236,father,1,0
1237,bleat,1,0
1238,improve,1,0
1239,time're,1,0
1240,damper,1,0
1241,flavor,1,0
1242,zap,1,0
1243,till,1,0
1244,mete,1,0
1245,chair,1,0
1246,plait,1,0
1247,slope,1,0
1248,detect,1,0
1249,crowd,1,0
1250,complete,1,0
1251,return,1,0
1252,succeed,1,0
1253,employ,1,0
1254,retire,1,0
1255,conclude,1,0
1256,huff,1,0
1257,claim,1,0
1258,readjust,1,0
1259,slit,1,0
1260,propose,1,0
1261,effect,1,0
1262,daddy'llrepair,1,0
1263,rake,1,0
1264,loan,1,0
1265,merry+go+round,1,0
1266,demand,1,0
1267,comment,1,0
1268,plough,1,0
1269,dispense,1,0
1270,limp,1,0
1271,lasso,1,0
1272,patrol,1,0
1273,gribbetgribbet,1,0
1274,maintain,1,0
1275,burrow,1,0
1276,satisfy,1,0
1277,imply,1,0
1278,distribute,1,0
1279,supervise,1,0
1280,beepbeep,1,0
1281,entertain,1,0
1282,swerve,1,0
1283,weave,1,0
1284,punish,1,0
1285,advertise,1,0
1286,slurp,1,0
1287,await,1,0
1288,create,1,0
1289,sled,1,0
1290,giver,1,0
1291,feature,1,0
1292,model,1,0
1293,abide,1,0
1294,stroll,1,0
1295,reload,1,0
1296,bid,1,0
1297,lynn,1,0
1298,fine,1,0
1299,lighten,1,0
1300,dial,1,0
1301,rot,1,0
1302,resume,1,0
1303,sustain,1,0
1304,roost,1,0
1305,rhyme,1,0
1306,jingle,1,0
1307,splat,1,0
1308,joyride,1,0
1309,plan,1,0
1310,locate,1,0
1311,concrete,1,0
1312,rely,1,0
1313,dylli,1,0
1314,offend,1,0
1315,occasion,1,0
1316,parcel,1,0
1317,stow,1,0
1318,remeasure,1,0
1319,supply,1,0
1320,shed,1,0
1321,stoke,1,0
1322,report,1,0
1323,imprison,1,0
1324,entitle,1,0
1325,foresee,1,0
1326,pear,1,0
1327,salvage,1,0
1328,smother,1,0
1329,harry,1,0
1330,displease,1,0
1331,maroon,1,0
1332,misplace,1,0
1333,type,1,0
1334,overheat,1,0
1335,lets,1,0
1336,game're,1,0
1337,plural,1,0
1338,bawl,1,0
1339,croon,1,0
1340,right,1,0
1341,infuriate,1,0
1342,ear,1,0
1343,hide+and+seek,1,0
1344,peak,1,0
1345,told,1,0
1346,play+days,1,0
1347,ensure,1,0
1348,fidget,1,0
1349,party,1,0
1350,bundle,1,0
1351,tea,1,0
1352,navigate,1,0
1353,splutter,1,0
1354,liven,1,0
1355,sag,1,0
1356,promote,1,0
1357,up,1,0
1358,bebbeb,1,0
1359,dedde,1,0
1360,how'm,1,0
1361,piece,1,0
1362,sure,1,0
1363,woofe,1,0
1364,wibblewobble,1,0
1365,brush'd,1,0
1366,experiment,1,0
1367,vote,1,0
1368,film,1,0
1369,snuffle,1,0
1370,threw,1,0
1371,clipper,1,0
1372,refroze,1,0
1373,modify,1,0
1374,counterfeit,1,0
1375,memorize,1,0
1376,went,1,0
1377,sprinkle,1,0
1378,shade,1,0
1379,defrost,1,0
1380,reel,1,0
1381,mithere,1,0
1382,unpeel,1,0
1383,parrot,1,0
1384,hallucinate,1,0
1385,d,1,0
1386,overflow,1,0
1387,clock,1,0
1388,ready,1,0
1389,attract,1,0
1390,deck,1,0
1391,flour,1,0
1392,fork,1,0
1393,harass,1,0
1394,clam,1,0
1395,slice,1,0
1396,disco,1,0
1397,bill'd,1,0
1398,zombifie,1,0
1399,stew,1,0
1400,color've,1,0
1401,soar,1,0
1402,goggin,1,0
1403,mime,1,0
1404,swaddle,1,0
1405,a,1,0
1406,spout,1,0
1407,ice+pick,1,0
1408,double,1,0
1409,position,1,0
1410,dab,1,0
1411,reveal,1,0
1412,class,1,0
1413,dish,1,0
1414,hum,1,0
1415,border,1,0
1416,teeter,1,0
1417,overlap,1,0
1418,accustom,1,0
1419,observe,1,0
1420,gibber,1,0
1421,carve,1,0
1422,console,1,0
1423,defy,1,0
1424,gargle,1,0
1425,gerre,1,0
1426,roller+skate,1,0
1427,blink,1,0
1428,stare,1,0
1429,knight,1,0
1430,butt,1,0
1431,coope,1,0
1432,steady,1,0
1433,mold,1,0
1434,sleep+walke,1,0
1435,quietish,1,0
1436,was,1,0
1437,book've,1,0
1438,hair've,1,0
1439,forgettene,1,0
1440,forgottene,1,0
1441,acquire,1,0
